P,0.414,0.288,1.167,0.14,0,0,0,0.28,0,0,0,0.56
C,0.414,0.288,1.447,0.414,0.288,1.622,0.07
S,0.414,0.288,1.622,0.105
C,0.414,0.428,1.397,0.414,0.498,1.397,0.05
C,0.414,0.498,1.397,0.3993,0.498,1.188,0.042
C,0.3993,0.498,1.188,0.4124,0.498,0.8097,0.042
C,0.414,0.148,1.397,0.414,0.078,1.397,0.05
C,0.414,0.078,1.397,0.4816,0.078,1.198,0.042
C,0.4816,0.078,1.198,0.7401,0.078,0.9222,0.042
C,0.414,0.358,0.887,0.613,0.358,0.5171,0.07
C,0.613,0.358,0.5171,0.522,0.358,0.1502,0.042
C,0.5046,0.358,0.1351,0.6886,0.358,0.1308,0.028
C,0.414,0.218,0.887,0.3537,0.218,0.4714,0.07
C,0.3537,0.218,0.4714,0.1878,0.218,0.1316,0.042
C,0.1693,0.218,0.1265,0.3375,0.218,0.0528,0.028
